dataset,size,quality,algorithm,signal,seed,mi_value
PBMC,464,0.0054682,Geneformer,celltype.l3,42,1.28045
PBMC,464,0.0054682,Geneformer,celltype.l3,2303,1.20455
PBMC,464,0.0054682,Geneformer,celltype.l3,2701,1.19727
PBMC,464,0.0054682,PCA,celltype.l3,42,1.58575
PBMC,464,0.0054682,PCA,celltype.l3,2303,0.94319
PBMC,464,0.0054682,PCA,celltype.l3,2701,1.58093
PBMC,464,0.0054682,RandomProjection,celltype.l3,42,0.23654
PBMC,464,0.0054682,RandomProjection,celltype.l3,2303,0.32302
PBMC,464,0.0054682,RandomProjection,celltype.l3,2701,0.23654
PBMC,464,0.0054682,SCVI,celltype.l3,42,1.09598
PBMC,464,0.0054682,SCVI,celltype.l3,2303,1.07707
PBMC,464,0.0054682,SCVI,celltype.l3,2701,1.03439
PBMC,464,0.0115083,Geneformer,celltype.l3,42,1.51597
PBMC,464,0.0115083,Geneformer,celltype.l3,2303,1.56884
PBMC,464,0.0115083,Geneformer,celltype.l3,2701,1.4649
PBMC,464,0.0115083,PCA,celltype.l3,42,1.526
PBMC,464,0.0115083,PCA,celltype.l3,2303,1.1807
PBMC,464,0.0115083,PCA,celltype.l3,2701,1.55437
PBMC,464,0.0115083,RandomProjection,celltype.l3,42,0.4504
PBMC,464,0.0115083,RandomProjection,celltype.l3,2303,0.54692
PBMC,464,0.0115083,RandomProjection,celltype.l3,2701,0.4504
PBMC,464,0.0115083,SCVI,celltype.l3,42,1.46229
PBMC,464,0.0115083,SCVI,celltype.l3,2303,1.50108
PBMC,464,0.0115083,SCVI,celltype.l3,2701,1.46526
PBMC,464,0.02422,Geneformer,celltype.l3,42,1.83053
PBMC,464,0.02422,Geneformer,celltype.l3,2303,1.79696
PBMC,464,0.02422,Geneformer,celltype.l3,2701,1.78152
PBMC,464,0.02422,PCA,celltype.l3,42,1.64602
PBMC,464,0.02422,PCA,celltype.l3,2303,1.62346
PBMC,464,0.02422,PCA,celltype.l3,2701,1.59241
PBMC,464,0.02422,RandomProjection,celltype.l3,42,0.77515
PBMC,464,0.02422,RandomProjection,celltype.l3,2303,0.7979
PBMC,464,0.02422,RandomProjection,celltype.l3,2701,0.77515
PBMC,464,0.02422,SCVI,celltype.l3,42,1.80934
PBMC,464,0.02422,SCVI,celltype.l3,2303,1.88106
PBMC,464,0.02422,SCVI,celltype.l3,2701,1.90137
PBMC,464,0.050973,Geneformer,celltype.l3,42,2.05982
PBMC,464,0.050973,Geneformer,celltype.l3,2303,1.98927
PBMC,464,0.050973,Geneformer,celltype.l3,2701,2.01504
PBMC,464,0.050973,PCA,celltype.l3,42,2.08025
PBMC,464,0.050973,PCA,celltype.l3,2303,2.05512
PBMC,464,0.050973,PCA,celltype.l3,2701,2.01146
PBMC,464,0.050973,RandomProjection,celltype.l3,42,1.18647
PBMC,464,0.050973,RandomProjection,celltype.l3,2303,1.1766
PBMC,464,0.050973,RandomProjection,celltype.l3,2701,1.18647
PBMC,464,0.050973,SCVI,celltype.l3,42,2.28011
PBMC,464,0.050973,SCVI,celltype.l3,2303,2.27045
PBMC,464,0.050973,SCVI,celltype.l3,2701,2.24269
PBMC,464,0.1072766,Geneformer,celltype.l3,42,2.09037
PBMC,464,0.1072766,Geneformer,celltype.l3,2303,2.23218
PBMC,464,0.1072766,Geneformer,celltype.l3,2701,2.18572
PBMC,464,0.1072766,PCA,celltype.l3,42,2.29846
PBMC,464,0.1072766,PCA,celltype.l3,2303,2.29855
PBMC,464,0.1072766,PCA,celltype.l3,2701,2.30829
PBMC,464,0.1072766,RandomProjection,celltype.l3,42,1.54612
PBMC,464,0.1072766,RandomProjection,celltype.l3,2303,1.55153
PBMC,464,0.1072766,RandomProjection,celltype.l3,2701,1.54612
PBMC,464,0.1072766,SCVI,celltype.l3,42,2.45199
PBMC,464,0.1072766,SCVI,celltype.l3,2303,2.55227
PBMC,464,0.1072766,SCVI,celltype.l3,2701,2.54196
PBMC,464,0.225772,Geneformer,celltype.l3,42,2.24575
PBMC,464,0.225772,Geneformer,celltype.l3,2303,2.20275
PBMC,464,0.225772,Geneformer,celltype.l3,2701,2.10025
PBMC,464,0.225772,PCA,celltype.l3,42,2.61071
PBMC,464,0.225772,PCA,celltype.l3,2303,2.64076
PBMC,464,0.225772,PCA,celltype.l3,2701,2.58987
PBMC,464,0.225772,RandomProjection,celltype.l3,42,1.86693
PBMC,464,0.225772,RandomProjection,celltype.l3,2303,1.8254
PBMC,464,0.225772,RandomProjection,celltype.l3,2701,1.86693
PBMC,464,0.225772,SCVI,celltype.l3,42,2.67836
PBMC,464,0.225772,SCVI,celltype.l3,2303,2.64564
PBMC,464,0.225772,SCVI,celltype.l3,2701,2.67025
PBMC,464,0.4751547,Geneformer,celltype.l3,42,2.55201
PBMC,464,0.4751547,Geneformer,celltype.l3,2303,2.57875
PBMC,464,0.4751547,Geneformer,celltype.l3,2701,2.58228
PBMC,464,0.4751547,PCA,celltype.l3,42,2.82083
PBMC,464,0.4751547,PCA,celltype.l3,2303,2.83542
