dataset,size,quality,algorithm,signal,seed
merfish,3494,0.6701133,Geneformer,cur_idx,2701
merfish,3494,1.0,Geneformer,cur_idx,1404
merfish,3494,1.0,Geneformer,cur_idx,2303
merfish,3494,1.0,Geneformer,cur_idx,2701
merfish,7113,0.027248,Geneformer,cur_idx,1404
merfish,7113,0.027248,Geneformer,cur_idx,2303
merfish,7113,0.027248,Geneformer,cur_idx,2701
merfish,7113,0.0406617,Geneformer,cur_idx,1404
merfish,7113,0.0406617,Geneformer,cur_idx,2303
merfish,7113,0.0406617,Geneformer,cur_idx,2701
merfish,7113,0.0606789,Geneformer,cur_idx,1404
merfish,7113,0.0606789,Geneformer,cur_idx,2303
merfish,7113,0.0606789,Geneformer,cur_idx,2701
merfish,7113,0.0905502,Geneformer,cur_idx,1404
merfish,7113,0.0905502,Geneformer,cur_idx,2303
merfish,7113,0.0905502,Geneformer,cur_idx,2701
merfish,7113,0.1351267,Geneformer,cur_idx,1404
merfish,7113,0.1351267,Geneformer,cur_idx,2303
merfish,7113,0.1351267,Geneformer,cur_idx,2701
merfish,7113,0.2016475,Geneformer,cur_idx,1404
merfish,7113,0.2016475,Geneformer,cur_idx,2303
merfish,7113,0.2016475,Geneformer,cur_idx,2701
merfish,7113,0.3009156,Geneformer,cur_idx,1404
merfish,7113,0.3009156,Geneformer,cur_idx,2303
merfish,7113,0.3009156,Geneformer,cur_idx,2701
merfish,7113,0.4490518,Geneformer,cur_idx,1404
merfish,7113,0.4490518,Geneformer,cur_idx,2303
merfish,7113,0.4490518,Geneformer,cur_idx,2701
merfish,7113,0.6701133,Geneformer,cur_idx,1404
merfish,7113,0.6701133,Geneformer,cur_idx,2303
merfish,7113,0.6701133,Geneformer,cur_idx,2701
merfish,7113,1.0,Geneformer,cur_idx,1404
merfish,7113,1.0,Geneformer,cur_idx,2303
merfish,7113,1.0,Geneformer,cur_idx,2701
merfish,14480,0.027248,Geneformer,cur_idx,1404
merfish,14480,0.027248,Geneformer,cur_idx,2303
merfish,14480,0.027248,Geneformer,cur_idx,2701
merfish,14480,0.0406617,Geneformer,cur_idx,1404
merfish,14480,0.0406617,Geneformer,cur_idx,2303
merfish,14480,0.0406617,Geneformer,cur_idx,2701
merfish,14480,0.0606789,Geneformer,cur_idx,1404
merfish,14480,0.0606789,Geneformer,cur_idx,2303
merfish,14480,0.0606789,Geneformer,cur_idx,2701
merfish,14480,0.0905502,Geneformer,cur_idx,1404
merfish,14480,0.0905502,Geneformer,cur_idx,2303
merfish,14480,0.0905502,Geneformer,cur_idx,2701
merfish,14480,0.1351267,Geneformer,cur_idx,1404
merfish,14480,0.1351267,Geneformer,cur_idx,2303
merfish,14480,0.1351267,Geneformer,cur_idx,2701
merfish,14480,0.2016475,Geneformer,cur_idx,1404
merfish,14480,0.2016475,Geneformer,cur_idx,2303
merfish,14480,0.2016475,Geneformer,cur_idx,2701
merfish,14480,0.3009156,Geneformer,cur_idx,1404
merfish,14480,0.3009156,Geneformer,cur_idx,2303
merfish,14480,0.3009156,Geneformer,cur_idx,2701
merfish,14480,0.4490518,Geneformer,cur_idx,1404
merfish,14480,0.4490518,Geneformer,cur_idx,2303
merfish,14480,0.4490518,Geneformer,cur_idx,2701
merfish,14480,0.6701133,Geneformer,cur_idx,1404
merfish,14480,0.6701133,Geneformer,cur_idx,2303
merfish,14480,0.6701133,Geneformer,cur_idx,2701
merfish,14480,1.0,Geneformer,cur_idx,1404
merfish,14480,1.0,Geneformer,cur_idx,2303
merfish,14480,1.0,Geneformer,cur_idx,2701
merfish,29475,0.027248,Geneformer,cur_idx,1404
merfish,29475,0.027248,Geneformer,cur_idx,2303
merfish,29475,0.027248,Geneformer,cur_idx,2701
merfish,29475,0.0406617,Geneformer,cur_idx,1404
merfish,29475,0.0406617,Geneformer,cur_idx,2303
merfish,29475,0.0406617,Geneformer,cur_idx,2701
merfish,29475,0.0606789,Geneformer,cur_idx,1404
merfish,29475,0.0606789,Geneformer,cur_idx,2303
merfish,29475,0.0606789,Geneformer,cur_idx,2701
merfish,29475,0.0905502,Geneformer,cur_idx,1404
merfish,29475,0.0905502,Geneformer,cur_idx,2303
merfish,29475,0.0905502,Geneformer,cur_idx,2701
merfish,29475,0.1351267,Geneformer,cur_idx,1404
merfish,29475,0.1351267,Geneformer,cur_idx,2303
merfish,29475,0.1351267,Geneformer,cur_idx,2701
merfish,29475,0.2016475,Geneformer,cur_idx,1404
merfish,29475,0.2016475,Geneformer,cur_idx,2303
merfish,29475,0.2016475,Geneformer,cur_idx,2701
merfish,29475,0.3009156,Geneformer,cur_idx,1404
merfish,29475,0.3009156,Geneformer,cur_idx,2303
merfish,29475,0.3009156,Geneformer,cur_idx,2701
merfish,29475,0.4490518,Geneformer,cur_idx,1404
merfish,29475,0.4490518,Geneformer,cur_idx,2303
merfish,29475,0.4490518,Geneformer,cur_idx,2701
merfish,29475,0.6701133,Geneformer,cur_idx,1404
merfish,29475,0.6701133,Geneformer,cur_idx,2303
merfish,29475,0.6701133,Geneformer,cur_idx,2701
merfish,29475,1.0,Geneformer,cur_idx,1404
merfish,29475,1.0,Geneformer,cur_idx,2303
merfish,29475,1.0,Geneformer,cur_idx,2701
merfish,60000,0.027248,Geneformer,cur_idx,1404
merfish,60000,0.027248,Geneformer,cur_idx,2303
merfish,60000,0.027248,Geneformer,cur_idx,2701
merfish,60000,0.0406617,Geneformer,cur_idx,1404
merfish,60000,0.0406617,Geneformer,cur_idx,2303
merfish,60000,0.0406617,Geneformer,cur_idx,2701
merfish,60000,0.0606789,Geneformer,cur_idx,1404
merfish,60000,0.0606789,Geneformer,cur_idx,2303
merfish,60000,0.0606789,Geneformer,cur_idx,2701
merfish,60000,0.0905502,Geneformer,cur_idx,1404
merfish,60000,0.0905502,Geneformer,cur_idx,2303
merfish,60000,0.0905502,Geneformer,cur_idx,2701
merfish,60000,0.1351267,Geneformer,cur_idx,1404
merfish,60000,0.1351267,Geneformer,cur_idx,2303
merfish,60000,0.1351267,Geneformer,cur_idx,2701
merfish,60000,0.2016475,Geneformer,cur_idx,1404
merfish,60000,0.2016475,Geneformer,cur_idx,2303
merfish,60000,0.2016475,Geneformer,cur_idx,2701
merfish,60000,0.3009156,Geneformer,cur_idx,1404
merfish,60000,0.3009156,Geneformer,cur_idx,2303
merfish,60000,0.3009156,Geneformer,cur_idx,2701
merfish,60000,0.4490518,Geneformer,cur_idx,1404
merfish,60000,0.4490518,Geneformer,cur_idx,2303
merfish,60000,0.4490518,Geneformer,cur_idx,2701
merfish,60000,0.6701133,Geneformer,cur_idx,1404
merfish,60000,0.6701133,Geneformer,cur_idx,2303
merfish,60000,0.6701133,Geneformer,cur_idx,2701
merfish,60000,1.0,Geneformer,cur_idx,1404
merfish,60000,1.0,Geneformer,cur_idx,2303
merfish,60000,1.0,Geneformer,cur_idx,2701
