dataset,size,quality,algorithm,signal,seed,mi_value
PBMC,215,0.0012346,PCA,protein_counts,2303,0.36669
PBMC,215,0.0012346,PCA,protein_counts,2701,0.35386
PBMC,215,0.0012346,RandomProjection,protein_counts,42,0.25169
PBMC,215,0.0012346,RandomProjection,protein_counts,2303,0.24459
PBMC,215,0.0012346,RandomProjection,protein_counts,2701,0.25169
PBMC,215,0.0012346,SCVI,protein_counts,42,0.22574
PBMC,215,0.0012346,SCVI,protein_counts,2303,0.27331
PBMC,215,0.0012346,SCVI,protein_counts,2701,0.2516
PBMC,215,0.0025982,Geneformer,protein_counts,42,1.04138
PBMC,215,0.0025982,Geneformer,protein_counts,2303,1.09094
PBMC,215,0.0025982,Geneformer,protein_counts,2701,1.05895
PBMC,215,0.0025982,PCA,protein_counts,42,0.61666
PBMC,215,0.0025982,PCA,protein_counts,2303,0.62417
PBMC,215,0.0025982,PCA,protein_counts,2701,0.62216
PBMC,215,0.0025982,RandomProjection,protein_counts,42,0.2752
PBMC,215,0.0025982,RandomProjection,protein_counts,2303,0.28246
PBMC,215,0.0025982,RandomProjection,protein_counts,2701,0.2752
PBMC,215,0.0025982,SCVI,protein_counts,42,0.47797
PBMC,215,0.0025982,SCVI,protein_counts,2303,0.55719
PBMC,215,0.0025982,SCVI,protein_counts,2701,0.60494
PBMC,215,0.0054682,Geneformer,protein_counts,42,1.39537
PBMC,215,0.0054682,Geneformer,protein_counts,2303,1.45275
PBMC,215,0.0054682,Geneformer,protein_counts,2701,1.47055
PBMC,215,0.0054682,PCA,protein_counts,42,0.80199
PBMC,215,0.0054682,PCA,protein_counts,2303,0.77624
PBMC,215,0.0054682,PCA,protein_counts,2701,0.81553
PBMC,215,0.0054682,RandomProjection,protein_counts,42,0.41653
PBMC,215,0.0054682,RandomProjection,protein_counts,2303,0.38736
PBMC,215,0.0054682,RandomProjection,protein_counts,2701,0.41653
PBMC,215,0.0054682,SCVI,protein_counts,42,0.83648
PBMC,215,0.0054682,SCVI,protein_counts,2303,0.89168
PBMC,215,0.0054682,SCVI,protein_counts,2701,0.89523
PBMC,215,0.0115083,Geneformer,protein_counts,42,1.74319
PBMC,215,0.0115083,Geneformer,protein_counts,2303,1.75587
PBMC,215,0.0115083,Geneformer,protein_counts,2701,1.73616
PBMC,215,0.0115083,PCA,protein_counts,42,1.28743
PBMC,215,0.0115083,PCA,protein_counts,2303,1.26715
PBMC,215,0.0115083,PCA,protein_counts,2701,1.32156
PBMC,215,0.0115083,RandomProjection,protein_counts,42,0.6329
PBMC,215,0.0115083,RandomProjection,protein_counts,2303,0.65149
PBMC,215,0.0115083,RandomProjection,protein_counts,2701,0.6329
PBMC,215,0.0115083,SCVI,protein_counts,42,1.60558
PBMC,215,0.0115083,SCVI,protein_counts,2303,1.56795
PBMC,215,0.0115083,SCVI,protein_counts,2701,1.57395
PBMC,215,0.02422,Geneformer,protein_counts,42,1.9847
PBMC,215,0.02422,Geneformer,protein_counts,2303,2.0959
PBMC,215,0.02422,Geneformer,protein_counts,2701,2.11264
PBMC,215,0.02422,PCA,protein_counts,42,1.78836
PBMC,215,0.02422,PCA,protein_counts,2303,1.74922
PBMC,215,0.02422,PCA,protein_counts,2701,1.75502
PBMC,215,0.02422,RandomProjection,protein_counts,42,1.01817
