seed,noise_level,eta,sigma_meas_sq,sigma_M,sigma_M_sq_ratio,sigma_M_sq,n_per_batch,k,MI,test_acc,MI_std_if_estimator_provides_it
0,1.6,0.39062499999999994,2.5600000000000005,0.0,0.0,0.0,100.0,100,0.0014268786254971744,0.3009,
0,1.6,0.39062499999999994,2.5600000000000005,0.14142135623730953,0.007812500000000002,0.020000000000000007,100.0,100,0.00017346168017073893,0.3236,
0,1.6,0.39062499999999994,2.5600000000000005,0.28284271247461906,0.03125000000000001,0.08000000000000003,100.0,100,0.0007670904476562157,0.3264,
0,1.6,0.39062499999999994,2.5600000000000005,0.5656854249492381,0.12500000000000003,0.3200000000000001,100.0,100,0.0005454818538401796,0.2859,
1,0.05,399.99999999999994,0.0025000000000000005,0.0,0.0,0.0,100.0,100,0.40487238046129725,0.4524,
1,0.05,399.99999999999994,0.0025000000000000005,0.14142135623730953,8.000000000000002,0.020000000000000007,100.0,100,0.419370746206952,0.4814,
1,0.05,399.99999999999994,0.0025000000000000005,0.28284271247461906,32.00000000000001,0.08000000000000003,100.0,100,0.32738183142628907,0.4501,
1,0.05,399.99999999999994,0.0025000000000000005,0.5656854249492381,128.00000000000003,0.3200000000000001,100.0,100,0.1904978371472228,0.3731,
1,0.1,99.99999999999999,0.010000000000000002,0.0,0.0,0.0,100.0,100,0.4232922924913347,0.469,
1,0.1,99.99999999999999,0.010000000000000002,0.14142135623730953,2.0000000000000004,0.020000000000000007,100.0,100,0.3822828894290202,0.4469,
1,0.1,99.99999999999999,0.010000000000000002,0.28284271247461906,8.000000000000002,0.08000000000000003,100.0,100,0.32769555905826175,0.4303,
1,0.1,99.99999999999999,0.010000000000000002,0.5656854249492381,32.00000000000001,0.3200000000000001,100.0,100,0.18986711878134255,0.3548,
1,0.2,24.999999999999996,0.04000000000000001,0.0,0.0,0.0,100.0,100,0.3998712658626715,0.4661,
1,0.2,24.999999999999996,0.04000000000000001,0.14142135623730953,0.5000000000000001,0.020000000000000007,100.0,100,0.35586152192298215,0.4566,
1,0.2,24.999999999999996,0.04000000000000001,0.28284271247461906,2.0000000000000004,0.08000000000000003,100.0,100,0.31297021385021084,0.4127,
1,0.2,24.999999999999996,0.04000000000000001,0.5656854249492381,8.000000000000002,0.3200000000000001,100.0,100,0.12844493918715738,0.3318,
1,0.4,6.249999999999999,0.16000000000000003,0.0,0.0,0.0,100.0,100,0.2553988249643382,0.3975,
1,0.4,6.249999999999999,0.16000000000000003,0.14142135623730953,0.12500000000000003,0.020000000000000007,100.0,100,0.23558704821900545,0.3917,
1,0.4,6.249999999999999,0.16000000000000003,0.28284271247461906,0.5000000000000001,0.08000000000000003,100.0,100,0.20730343752744762,0.3714,
1,0.4,6.249999999999999,0.16000000000000003,0.5656854249492381,2.0000000000000004,0.3200000000000001,100.0,100,0.10845286023388034,0.3497,
1,0.8,1.5624999999999998,0.6400000000000001,0.0,0.0,0.0,100.0,100,0.005508839751795058,0.3113,
1,0.8,1.5624999999999998,0.6400000000000001,0.14142135623730953,0.03125000000000001,0.020000000000000007,100.0,100,0.02238393108528225,0.3342,
1,0.8,1.5624999999999998,0.6400000000000001,0.28284271247461906,0.12500000000000003,0.08000000000000003,100.0,100,0.10059679968807655,0.3086,
1,0.8,1.5624999999999998,0.6400000000000001,0.5656854249492381,0.5000000000000001,0.3200000000000001,100.0,100,0.005750999633125531,0.3183,
1,1.6,0.39062499999999994,2.5600000000000005,0.0,0.0,0.0,100.0,100,0.0007356837793897064,0.3274,
1,1.6,0.39062499999999994,2.5600000000000005,0.14142135623730953,0.007812500000000002,0.020000000000000007,100.0,100,0.001006912962618678,0.3235,
1,1.6,0.39062499999999994,2.5600000000000005,0.28284271247461906,0.03125000000000001,0.08000000000000003,100.0,100,0.0006301369269459123,0.3238,
1,1.6,0.39062499999999994,2.5600000000000005,0.5656854249492381,0.12500000000000003,0.3200000000000001,100.0,100,0.00017810564571352216,0.3206,
2,0.05,399.99999999999994,0.0025000000000000005,0.0,0.0,0.0,100.0,100,0.4130197334371575,0.4765,
2,0.05,399.99999999999994,0.0025000000000000005,0.14142135623730953,8.000000000000002,0.020000000000000007,100.0,100,0.3910363194230473,0.4641,
2,0.05,399.99999999999994,0.0025000000000000005,0.28284271247461906,32.00000000000001,0.08000000000000003,100.0,100,0.3258001224063376,0.4336,
2,0.05,399.99999999999994,0.0025000000000000005,0.5656854249492381,128.00000000000003,0.3200000000000001,100.0,100,0.19006290839031825,0.3299,
2,0.1,99.99999999999999,0.010000000000000002,0.0,0.0,0.0,100.0,100,0.3748594208799396,0.4638,
2,0.1,99.99999999999999,0.010000000000000002,0.14142135623730953,2.0000000000000004,0.020000000000000007,100.0,100,0.36902170393675293,0.4283,
2,0.1,99.99999999999999,0.010000000000000002,0.28284271247461906,8.000000000000002,0.08000000000000003,100.0,100,0.35095884303067715,0.4493,
2,0.1,99.99999999999999,0.010000000000000002,0.5656854249492381,32.00000000000001,0.3200000000000001,100.0,100,0.23462928265711858,0.403,
2,0.2,24.999999999999996,0.04000000000000001,0.0,0.0,0.0,100.0,100,0.35933425173751177,0.4397,
2,0.2,24.999999999999996,0.04000000000000001,0.14142135623730953,0.5000000000000001,0.020000000000000007,100.0,100,0.3127675430910348,0.4359,
2,0.2,24.999999999999996,0.04000000000000001,0.28284271247461906,2.0000000000000004,0.08000000000000003,100.0,100,0.3148541954162476,0.4229,
