dataset,size,quality,size_rank,curve,step,loss,is_best_checkpoint
PBMC,4641,0.0025982,medium,val,2000,5.121491432189941,False
PBMC,4641,0.0025982,medium,val,3000,4.676061630249023,False
PBMC,4641,0.0025982,medium,val,4000,4.6454572677612305,False
PBMC,4641,0.0025982,medium,val,5000,5.098115921020508,False
PBMC,4641,0.0025982,medium,val,6000,5.434950351715088,False
PBMC,4641,0.0025982,medium,val,7000,5.715359210968018,False
PBMC,4641,0.0025982,medium,val,8000,6.176863670349121,False
PBMC,4641,0.0025982,medium,val,9000,6.610054969787598,False
PBMC,4641,0.0025982,medium,val,4000,4.6454572677612305,True
PBMC,4641,0.0054682,medium,train,1000,7.6684,False
PBMC,4641,0.0054682,medium,train,2000,5.8501,False
PBMC,4641,0.0054682,medium,train,3000,5.0159,False
PBMC,4641,0.0054682,medium,train,4000,4.2179,False
PBMC,4641,0.0054682,medium,train,5000,3.5854,False
PBMC,4641,0.0054682,medium,train,6000,3.0714,False
PBMC,4641,0.0054682,medium,train,7000,2.6683,False
PBMC,4641,0.0054682,medium,train,8000,2.3669,False
PBMC,4641,0.0054682,medium,train,9000,2.1326,False
PBMC,4641,0.0054682,medium,val,1000,6.340699195861816,False
PBMC,4641,0.0054682,medium,val,2000,5.900839805603027,False
PBMC,4641,0.0054682,medium,val,3000,4.528084754943848,False
PBMC,4641,0.0054682,medium,val,4000,4.499605655670166,False
PBMC,4641,0.0054682,medium,val,5000,4.693606376647949,False
PBMC,4641,0.0054682,medium,val,6000,4.913938999176025,False
PBMC,4641,0.0054682,medium,val,7000,5.064263820648193,False
PBMC,4641,0.0054682,medium,val,8000,5.485247611999512,False
PBMC,4641,0.0054682,medium,val,9000,5.738774299621582,False
PBMC,4641,0.0054682,medium,val,4000,4.499605655670166,True
PBMC,4641,0.0115083,medium,train,1000,7.7937,False
PBMC,4641,0.0115083,medium,train,2000,5.964,False
PBMC,4641,0.0115083,medium,train,3000,5.2827,False
PBMC,4641,0.0115083,medium,train,4000,4.4729,False
PBMC,4641,0.0115083,medium,train,5000,3.7872,False
PBMC,4641,0.0115083,medium,train,6000,3.2839,False
PBMC,4641,0.0115083,medium,train,7000,2.8694,False
PBMC,4641,0.0115083,medium,train,8000,2.5826,False
PBMC,4641,0.0115083,medium,train,9000,2.3766,False
PBMC,4641,0.0115083,medium,train,10000,2.2119,False
PBMC,4641,0.0115083,medium,val,1000,6.510229587554932,False
PBMC,4641,0.0115083,medium,val,2000,5.534127712249756,False
PBMC,4641,0.0115083,medium,val,3000,4.983675956726074,False
PBMC,4641,0.0115083,medium,val,4000,4.224061489105225,False
PBMC,4641,0.0115083,medium,val,5000,4.200132369995117,False
PBMC,4641,0.0115083,medium,val,6000,4.359607696533203,False
PBMC,4641,0.0115083,medium,val,7000,4.4518537521362305,False
PBMC,4641,0.0115083,medium,val,8000,4.671388626098633,False
PBMC,4641,0.0115083,medium,val,9000,4.837986946105957,False
PBMC,4641,0.0115083,medium,val,10000,5.06721830368042,False
PBMC,4641,0.0115083,medium,val,5000,4.200132369995117,True
PBMC,4641,0.02422,medium,train,1000,7.967,False
PBMC,4641,0.02422,medium,train,2000,6.1283,False
PBMC,4641,0.02422,medium,train,3000,5.5068,False
PBMC,4641,0.02422,medium,train,4000,5.0223,False
PBMC,4641,0.02422,medium,train,5000,4.0861,False
PBMC,4641,0.02422,medium,train,6000,3.5936,False
PBMC,4641,0.02422,medium,train,7000,3.2407,False
PBMC,4641,0.02422,medium,train,8000,2.9755,False
PBMC,4641,0.02422,medium,train,9000,2.7765,False
PBMC,4641,0.02422,medium,train,10000,2.6121,False
PBMC,4641,0.02422,medium,train,11000,2.479,False
PBMC,4641,0.02422,medium,train,12000,2.3666,False
PBMC,4641,0.02422,medium,val,1000,6.659829139709473,False
PBMC,4641,0.02422,medium,val,2000,5.906264305114746,False
PBMC,4641,0.02422,medium,val,3000,5.33774995803833,False
PBMC,4641,0.02422,medium,val,4000,4.716977596282959,False
PBMC,4641,0.02422,medium,val,5000,4.07763147354126,False
PBMC,4641,0.02422,medium,val,6000,3.927686929702759,False
PBMC,4641,0.02422,medium,val,7000,3.8857808113098145,False
PBMC,4641,0.02422,medium,val,8000,4.012091636657715,False
PBMC,4641,0.02422,medium,val,9000,4.111657619476318,False
PBMC,4641,0.02422,medium,val,10000,4.20003604888916,False
PBMC,4641,0.02422,medium,val,11000,4.275130748748779,False
PBMC,4641,0.02422,medium,val,12000,4.375603675842285,False
PBMC,4641,0.02422,medium,val,7000,3.8857808113098145,True
PBMC,4641,0.050973,medium,train,1000,8.1925,False
PBMC,4641,0.050973,medium,train,2000,6.4473,False
PBMC,4641,0.050973,medium,train,3000,5.6835,False
PBMC,4641,0.050973,medium,train,4000,5.2974,False
PBMC,4641,0.050973,medium,train,5000,4.3788,False
PBMC,4641,0.050973,medium,train,6000,3.6785,False
PBMC,4641,0.050973,medium,train,7000,3.3023,False
PBMC,4641,0.050973,medium,train,8000,3.0598,False
PBMC,4641,0.050973,medium,train,9000,2.8832,False
PBMC,4641,0.050973,medium,train,10000,2.748,False
PBMC,4641,0.050973,medium,train,11000,2.6377,False
PBMC,4641,0.050973,medium,train,12000,2.5371,False
PBMC,4641,0.050973,medium,train,13000,2.4541,False
PBMC,4641,0.050973,medium,val,1000,7.188083171844482,False
PBMC,4641,0.050973,medium,val,2000,6.151866912841797,False
PBMC,4641,0.050973,medium,val,3000,5.554074764251709,False
PBMC,4641,0.050973,medium,val,4000,5.173138618469238,False
PBMC,4641,0.050973,medium,val,5000,4.148772239685059,False
PBMC,4641,0.050973,medium,val,6000,3.7134618759155273,False
PBMC,4641,0.050973,medium,val,7000,3.580605983734131,False
PBMC,4641,0.050973,medium,val,8000,3.571563243865967,False
PBMC,4641,0.050973,medium,val,9000,3.651320219039917,False
PBMC,4641,0.050973,medium,val,10000,3.6627440452575684,False
PBMC,4641,0.050973,medium,val,11000,3.6663827896118164,False
PBMC,4641,0.050973,medium,val,12000,3.6814794540405273,False
PBMC,4641,0.050973,medium,val,13000,3.7792506217956543,False
PBMC,4641,0.050973,medium,val,8000,3.571563243865967,True
PBMC,4641,0.1072766,medium,train,1000,8.5377,False
PBMC,4641,0.1072766,medium,train,2000,6.7994,False
PBMC,4641,0.1072766,medium,train,3000,6.0266,False
PBMC,4641,0.1072766,medium,train,4000,5.5165,False
PBMC,4641,0.1072766,medium,train,5000,4.3907,False
PBMC,4641,0.1072766,medium,train,6000,3.6587,False
PBMC,4641,0.1072766,medium,train,7000,3.3612,False
PBMC,4641,0.1072766,medium,train,8000,3.1658,False
PBMC,4641,0.1072766,medium,train,9000,3.0174,False
PBMC,4641,0.1072766,medium,train,10000,2.8987,False
PBMC,4641,0.1072766,medium,train,11000,2.8092,False
PBMC,4641,0.1072766,medium,train,12000,2.733,False
PBMC,4641,0.1072766,medium,train,13000,2.6659,False
PBMC,4641,0.1072766,medium,train,14000,2.6066,False
PBMC,4641,0.1072766,medium,train,15000,2.5535,False
PBMC,4641,0.1072766,medium,train,16000,2.511,False
PBMC,4641,0.1072766,medium,val,1000,7.596278190612793,False
PBMC,4641,0.1072766,medium,val,2000,6.4087724685668945,False
PBMC,4641,0.1072766,medium,val,3000,5.9036455154418945,False
PBMC,4641,0.1072766,medium,val,4000,5.224870681762695,False
PBMC,4641,0.1072766,medium,val,5000,4.062446594238281,False
PBMC,4641,0.1072766,medium,val,6000,3.6193456649780273,False
PBMC,4641,0.1072766,medium,val,7000,3.5199148654937744,False
PBMC,4641,0.1072766,medium,val,8000,3.4835336208343506,False
PBMC,4641,0.1072766,medium,val,9000,3.4945497512817383,False
PBMC,4641,0.1072766,medium,val,10000,3.4817850589752197,False
PBMC,4641,0.1072766,medium,val,11000,3.448122501373291,False
PBMC,4641,0.1072766,medium,val,12000,3.5016467571258545,False
PBMC,4641,0.1072766,medium,val,13000,3.5188589096069336,False
PBMC,4641,0.1072766,medium,val,14000,3.5840699672698975,False
PBMC,4641,0.1072766,medium,val,15000,3.592087745666504,False
PBMC,4641,0.1072766,medium,val,16000,3.637211799621582,False
PBMC,4641,0.1072766,medium,val,11000,3.448122501373291,True
PBMC,4641,0.225772,medium,train,1000,8.9645,False
PBMC,4641,0.225772,medium,train,2000,6.9486,False
PBMC,4641,0.225772,medium,train,3000,5.7609,False
PBMC,4641,0.225772,medium,train,4000,4.7365,False
PBMC,4641,0.225772,medium,train,5000,4.0228,False
PBMC,4641,0.225772,medium,train,6000,3.7679,False
PBMC,4641,0.225772,medium,train,7000,3.6138,False
