dataset,algo,size,quality,probe,value
PBMC,RandomProjection,2154,0.0025982,ridge_mean_r2,0.013113936348741712
PBMC,RandomProjection,2154,0.0054682,ridge_mean_r2,0.028732307836452017
PBMC,RandomProjection,2154,0.0115083,ridge_mean_r2,0.0501949420642624
PBMC,RandomProjection,2154,0.02422,ridge_mean_r2,0.07401474552555674
PBMC,RandomProjection,2154,0.050973,ridge_mean_r2,0.09776558297724976
PBMC,RandomProjection,2154,0.1072766,ridge_mean_r2,0.11650667470395659
PBMC,RandomProjection,2154,0.225772,ridge_mean_r2,0.13276161741084394
PBMC,RandomProjection,2154,0.4751547,ridge_mean_r2,0.14277659753238864
PBMC,RandomProjection,2154,1.0,ridge_mean_r2,0.15148649228781003
PBMC,RandomProjection,4641,0.0012346,ridge_mean_r2,0.0036245859826477965
PBMC,RandomProjection,4641,0.0025982,ridge_mean_r2,0.013113936348741712
PBMC,RandomProjection,4641,0.0054682,ridge_mean_r2,0.028732307836452017
PBMC,RandomProjection,4641,0.0115083,ridge_mean_r2,0.0501949420642624
PBMC,RandomProjection,4641,0.02422,ridge_mean_r2,0.07401474552555674
PBMC,RandomProjection,4641,0.050973,ridge_mean_r2,0.09776558297724976
PBMC,RandomProjection,4641,0.1072766,ridge_mean_r2,0.11650667470395659
PBMC,RandomProjection,4641,0.225772,ridge_mean_r2,0.13276161741084394
PBMC,RandomProjection,4641,0.4751547,ridge_mean_r2,0.14277659753238864
PBMC,RandomProjection,4641,1.0,ridge_mean_r2,0.15148649228781003
PBMC,RandomProjection,10000,0.0012346,ridge_mean_r2,0.0036245859826477965
PBMC,RandomProjection,10000,0.0025982,ridge_mean_r2,0.013113936348741712
PBMC,RandomProjection,10000,0.0054682,ridge_mean_r2,0.028732307836452017
PBMC,RandomProjection,10000,0.0115083,ridge_mean_r2,0.0501949420642624
PBMC,RandomProjection,10000,0.02422,ridge_mean_r2,0.07401474552555674
PBMC,RandomProjection,10000,0.050973,ridge_mean_r2,0.09776558297724976
PBMC,RandomProjection,10000,0.1072766,ridge_mean_r2,0.11650667470395659
PBMC,RandomProjection,10000,0.225772,ridge_mean_r2,0.13276161741084394
PBMC,RandomProjection,10000,0.4751547,ridge_mean_r2,0.14277659753238864
PBMC,RandomProjection,10000,1.0,ridge_mean_r2,0.15148649228781003
