dataset,algo,signal,seed,size,quality,quality_str,step,mi
shendure,Geneformer,author_day,42,1291,0.2931733,0.2931733,3000,1.09596
shendure,Geneformer,author_day,42,1291,0.2931733,0.2931733,4000,1.20387
shendure,Geneformer,author_day,42,1291,0.2931733,0.2931733,5000,1.32239
shendure,Geneformer,author_day,42,1291,0.2931733,0.2931733,6000,1.35398
shendure,Geneformer,author_day,42,1291,0.2931733,0.2931733,7000,1.36697
shendure,Geneformer,author_day,42,1291,0.2931733,0.2931733,8000,1.34574
shendure,Geneformer,author_day,42,1291,0.2931733,0.2931733,9000,1.36813
shendure,Geneformer,author_day,42,1291,0.5414548,0.5414548,1000,0.75135
shendure,Geneformer,author_day,42,1291,0.5414548,0.5414548,2000,1.17892
shendure,Geneformer,author_day,42,1291,0.5414548,0.5414548,3000,1.27929
shendure,Geneformer,author_day,42,1291,0.5414548,0.5414548,4000,1.32385
shendure,Geneformer,author_day,42,1291,0.5414548,0.5414548,5000,1.48477
shendure,Geneformer,author_day,42,1291,0.5414548,0.5414548,6000,1.51022
shendure,Geneformer,author_day,42,1291,0.5414548,0.5414548,7000,1.48998
shendure,Geneformer,author_day,42,1291,0.5414548,0.5414548,8000,1.49404
shendure,Geneformer,author_day,42,1291,0.5414548,0.5414548,9000,1.47151
shendure,Geneformer,author_day,42,1291,1.0,1.0,1000,0.91917
shendure,Geneformer,author_day,42,1291,1.0,1.0,2000,1.30855
shendure,Geneformer,author_day,42,1291,1.0,1.0,3000,1.47159
shendure,Geneformer,author_day,42,1291,1.0,1.0,4000,1.57599
shendure,Geneformer,author_day,42,1291,1.0,1.0,5000,1.58891
shendure,Geneformer,author_day,42,1291,1.0,1.0,6000,1.59933
shendure,Geneformer,author_day,42,1291,1.0,1.0,7000,1.62309
shendure,Geneformer,author_day,42,1291,1.0,1.0,8000,1.6214
shendure,Geneformer,author_day,42,1291,1.0,1.0,9000,1.61819
shendure,Geneformer,author_day,42,4641,0.004,0.004,1000,0.20268
shendure,Geneformer,author_day,42,4641,0.004,0.004,2000,0.22897
shendure,Geneformer,author_day,42,4641,0.004,0.004,3000,0.24707
