method,metric,size,fitted_u_bar,fitted_I_max,u_bar_error,I_max_error
RandomProjection,protein_counts,10000,4734.177,3.137,443.974,0.049
RandomProjection,protein_counts,21544,4358.854,3.087,403.636,0.048
RandomProjection,protein_counts,46415,4741.423,3.134,465.747,0.054
RandomProjection,protein_counts,100000,5145.067,3.188,548.33,0.06
SCVI,author_day,100,1637.955,1.893,306.128,0.086
SCVI,author_day,359,956.247,1.836,171.394,0.075
SCVI,author_day,1291,635.833,1.847,111.75,0.069
SCVI,author_day,4641,792.818,2.298,124.63,0.071
SCVI,author_day,16681,535.01,2.229,73.114,0.058
SCVI,author_day,59948,367.445,2.14,71.357,0.077
SCVI,author_day,215443,384.315,2.277,31.982,0.034
SCVI,author_day,774263,311.121,2.246,36.436,0.046
SCVI,author_day,2782559,391.833,2.363,47.849,0.051
SCVI,author_day,10000000,315.554,2.47,22.275,0.029
SCVI,celltype.l3,100,1095.263,2.879,110.541,0.046
SCVI,celltype.l3,215,851.444,2.837,68.539,0.036
SCVI,celltype.l3,464,730.809,2.867,61.816,0.037
SCVI,celltype.l3,1000,781.181,2.978,87.22,0.047
SCVI,celltype.l3,2154,686.991,3.042,61.689,0.039
SCVI,celltype.l3,4641,885.137,3.27,65.509,0.034
SCVI,celltype.l3,10000,1221.625,3.568,118.775,0.047
SCVI,celltype.l3,21544,1196.281,3.602,117.245,0.05
SCVI,celltype.l3,46415,1031.405,3.621,90.682,0.043
SCVI,celltype.l3,100000,883.239,3.588,70.474,0.038
SCVI,clone,100,845.029,0.892,142.82,0.045
SCVI,clone,215,996.482,1.108,234.743,0.074
SCVI,clone,464,706.536,1.175,155.918,0.067
SCVI,clone,1000,998.03,1.534,202.237,0.077
SCVI,clone,2154,1458.494,1.944,238.637,0.074
SCVI,clone,4641,1152.252,1.99,143.812,0.055
SCVI,clone,10000,1164.586,2.104,148.449,0.058
SCVI,clone,21544,763.444,1.934,96.027,0.052
SCVI,clone,46415,659.098,1.88,71.451,0.043
SCVI,clone,100000,598.406,1.86,53.835,0.035
SCVI,ng_idx,100,280.123,1.054,65.869,0.084
SCVI,ng_idx,203,413.754,1.292,99.261,0.103
SCVI,ng_idx,414,463.915,1.403,90.016,0.088
SCVI,ng_idx,843,43302324.752,9.6,148926703687.21,2506.858
SCVI,ng_idx,1716,11343340.945,8.858,89688233721.917,5703.197
SCVI,ng_idx,3494,23504.857,4.782,208413.437,6.341
SCVI,ng_idx,7113,736.06,2.582,106.646,0.086
SCVI,ng_idx,14480,614.18,2.534,96.198,0.09
SCVI,ng_idx,29475,791.588,2.76,166.244,0.127
SCVI,ng_idx,60000,557.995,2.56,92.677,0.095
SCVI,protein_counts,100,1029.369,3.091,171.183,0.078
SCVI,protein_counts,215,766.445,2.978,118.575,0.07
SCVI,protein_counts,464,616.689,3.012,117.124,0.084
SCVI,protein_counts,1000,813.667,3.27,165.004,0.09
SCVI,protein_counts,2154,807.393,3.422,170.928,0.1
SCVI,protein_counts,4641,1366.744,3.896,294.301,0.109
SCVI,protein_counts,10000,3339.672,4.588,419.178,0.072
SCVI,protein_counts,21544,6967.881,5.162,814.322,0.074
SCVI,protein_counts,46415,5215.632,5.106,569.949,0.067
SCVI,protein_counts,100000,4861.13,5.177,656.502,0.082
