dataset,size,quality,method,metric,seed,mi_value,umis_per_cell,fitted_mi_value,I_max,I_max_err,u_bar,u_bar_err,A_fit,B_fit,fitted_mi_value_cell,A_cell,A_cell_err,B_cell,B_cell_err,C_cell,C_cell_err
PBMC,100,0.0025982,PCA,protein_counts,2701,0.62284,21,0.5259384158787443,3.736421087333816,0.12487671731408083,3435.4193214719985,562.7551390447728,0.00029108528142396395,0.05170944703170233,1.8125096797347668,37.70734074829012,33.7399393248818,1.0232741577641558,0.834642513907809,2.1811200720708706,0.7497225161917949
PBMC,100,0.0025982,RandomProjection,celltype.l3,42,0.20535,21,0.13998020512390677,2.6342506754656716,0.08272234430535606,3660.620301378551,391.16750606966485,0.0002731777452098516,0.010529851704153437,1.0295395538783902,22.078923492378006,50.85706998358089,1.2811248719270925,1.8738723243740403,1.1739350888829843,0.0044008311596572145
PBMC,100,0.0025982,RandomProjection,celltype.l3,2701,0.12768,21,0.13998020512390677,2.6342506754656716,0.08272234430535606,3660.620301378551,391.16750606966485,0.0002731777452098516,0.010529851704153437,1.0295395538783902,22.078923492378006,50.85706998358089,1.2811248719270925,1.8738723243740403,1.1739350888829843,0.0044008311596572145
PBMC,100,0.0025982,RandomProjection,protein_counts,42,0.28668,21,0.20707130410623711,3.147373749174665,0.0869201653984537,4874.076236221168,557.4097600323994,0.00020516708223983215,0.01610703099345212,1.2282455877236096,32.276501343365894,52.42725273908582,1.2646690696240785,1.7015077257855573,1.467524203136347,0.10617682045863089
PBMC,100,0.0025982,RandomProjection,protein_counts,2701,0.30596,21,0.20707130410623711,3.147373749174665,0.0869201653984537,4874.076236221168,557.4097600323994,0.00020516708223983215,0.01610703099345212,1.2282455877236096,32.276501343365894,52.42725273908582,1.2646690696240785,1.7015077257855573,1.467524203136347,0.10617682045863089
PBMC,100,0.0025982,SCVI,celltype.l3,42,0.37219,21,0.4999240883893718,2.8793674845718007,0.08246006597337109,1095.2631858446318,110.54124847045406,0.0009130225619962129,0.049434878654366354,1.5124235644072836,63.20919377552325,29.437524352322047,0.3462301128441859,0.1900368541911114,2.365571067023558,0.00847082387297237
PBMC,100,0.0025982,SCVI,celltype.l3,2701,0.33765,21,0.4999240883893718,2.8793674845718007,0.08246006597337109,1095.2631858446318,110.54124847045406,0.0009130225619962129,0.049434878654366354,1.5124235644072836,63.20919377552325,29.437524352322047,0.3462301128441859,0.1900368541911114,2.365571067023558,0.00847082387297237
PBMC,100,0.0025982,SCVI,protein_counts,42,0.47516,21,0.6406835270370548,3.0905566742017023,0.13598846202102022,1029.3808507989766,171.18956313933182,0.0009714577449384532,0.07048950153959255,1.6670947801125555,9774252.425063113,241249148.8612252,0.08986066508511048,0.11356655225623379,4.475192563524752,5.439720557293852
PBMC,100,0.0025982,SCVI,protein_counts,2701,0.3945,21,0.6406835270370548,3.0905566742017023,0.13598846202102022,1029.3808507989766,171.18956313933182,0.0009714577449384532,0.07048950153959255,1.6670947801125555,9774252.425063113,241249148.8612252,0.08986066508511048,0.11356655225623379,4.475192563524752,5.439720557293852
PBMC,100,0.0054682,Geneformer,celltype.l3,42,1.08677,44,1.0503873945122586,2.031599189767882,0.12092395440243348,166.22842388745465,22.113865756045357,0.006015818333674705,0.10056325070939831,1.4055962201436896,46.54941842384922,19.845054942571885,0.4494386459767371,0.21241233648522173,2.1147621035911044,0.03935424498716203
